ID,Longitude,Latitude,Species
236,-70.92,-33.49,O_degus
237,-70.89874,-33.49125,O_degus
238,-70.60784,-33.49585,O_degus
239,-70.96667,-33.5,O_degus
240,-70.96667,-33.5,O_degus
241,-70.5318,-33.5636,O_degus
242,-70.72294,-33.58711,O_degus
243,-70.72429,-33.59092,O_degus
244,-71.65,-33.61667,O_degus
245,-71.65,-33.61667,O_degus
246,-71.65,-33.61694,O_degus
247,-70.25,-33.75,O_degus
248,-70.24,-33.78,O_degus
249,-70.2475,-33.7861,O_degus
